manufact;model;sales;resale;type;price;engine_s;horsepow;wheelbas;width;length;curb_wgt;fuel_cap;mpg;lnsales;zresale;ztype;zprice;zengine_;zhorsepo;zwheelba;zwidth;zlength;zcurb_wg;zfuel_ca;zmpg;filter_$;logSales
Acura;Integra;16,919;16,36;0;21,5;1,8;140;101,2;67,3;172,4;2,639;13,2;28;2,82843725077666;-,149560618221778;-,592618775401597;-,410458276899195;-1,20700124170757;-,810378446772619;-,822788922602887;-1,11533688195974;-1,11255681328355;-1,17212353798345;-1,22222718856641;,970526586218014;1;2,82843725077666
Acura;TL;39,384;19,875;0;28,4;3,2;225;108,1;70,3;192,9;3,517;17,2;25;3,6733596424559;,157335576784713;-,592618775401597;,0703225717610769;,133156720615428;,68873123573365;,0801984308736042;-,246243207705392;,413677181603547;,220418450896137;-,193399769619371;,270037158265005;1;3,6733596424559
Acura;CL;14,114;18,225;0; ;3,2;225;106,9;70,6;192;3,47;17,2;26;2,64716721257864;,013273351532733;-,592618775401597; ;,133156720615428;,68873123573365;-,0768428479918712;-,159333840279958;,346671786706065;,145874631445863;-,193399769619371;,503533634249341;1;2,64716721257864
Acura;RL;8,588;29,725;0;42;3,5;210;114,6;71,4;196,6;3,85;18;22;2,15036588001653;1,01734340631926;-,592618775401597;1,01794859230886;,420333426827499;,424182468232544;,930838691394937;,072424472854537;,689143805070974;,748569341894885;,0123657141700376;-,430452269688004;1;2,15036588001653
Audi;A4;20,397;22,255;0;23,99;1,8;150;102,6;68,2;178;2,998;16,4;27;3,01538783121243;,365134422905751;-,592618775401597;-,236959101078314;-1,20700124170757;-,634012601771881;-,639574097259831;-,854608779683432;-,695634356143661;-,602735640480291;-,39916525340878;,737030110233678;1;3,01538783121243
Audi;A6;18,78;23,555;0;33,95;2,8;200;108,7;76,1;192;3,561;18,5;22;2,93279247378012;,478637994316402;-,592618775401597;,457037602205209;-,249745554334002;,247816623231806;,158719070306344;1,43400456251967;,346671786706065;,290204154211287;,140969141538418;-,430452269688004;1;2,93279247378012
Audi;A8;1,38;39;0;62;4,2;310;113;74;198,2;3,902;23,7;21;,322083499169113;1,82714773311448;-,592618775401597;2,41151626958501;1,090412407989;2,18784091823992;,721450319574302;,825638990541634;,808264507110942;,831043354903699;1,47844478616957;-,663948745672341;1;,322083499169113
BMW;323i;19,747; ;0;26,99;2,5;170;107,3;68,4;176;3,179;16,6;26,1;2,98300158107517; ;-,592618775401597;-,0279239494868916;-,536922260546073;-,281280911770406;-,0244957550367133;-,796669201399808;-,844535233693622;-,315662633661152;-,347723882461427;,526883281847775;1;2,98300158107517
BMW;328i;9,231;28,675;0;33,4;2,8;193;107,3;68,5;176;3,197;16,6;24;2,22256738500801;,925667444795274;-,592618775401597;,418714491080114;-,249745554334002;,12436053173129;-,0244957550367133;-,767699412257998;-,844535233693622;-,287113936850408;-,347723882461427;,0365406822806684;1;2,22256738500801
BMW;528i;17,527;36,125;0;38,9;2,8;193;111,4;70,9;188;3,472;18,5;24,8;2,86374254909104;1,57613021941785;-,592618775401597;,801945602331055;-,249745554334002;,12436053173129;,512061947753667;-,0724244728545205;,0488700316061429;,149046708869279;,140969141538418;,223337863068138;1;2,86374254909104
Buick;Century;91,561;12,475;0;21,975;3,1;175;109;72,7;194,6;3,368;17,5;25;4,51700541682464;-,488761675860531;-,592618775401597;-,377361044563886;,0374311518780703;-,193097989270037;,197979390022713;,449031731698086;,540242927521013;-,0159013171483485;-,116237713198343;,270037158265005;1;4,51700541682464
Buick;Regal;39,35;13,74;0;25,3;3,8;240;109;72,7;196,2;3,543;17,5;23;3,67249597486341;-,378313969834013;-,592618775401597;-,145680418216726;,707510133039571;,953280003234757;,197979390022713;,449031731698086;,659363629560982;,261655457400544;-,116237713198343;-,196955793703668;1;3,67249597486341
Buick;Park Avenue;27,851;20,19;0;31,965;3,8;205;113,8;74,7;206,8;3,778;18,5;24;3,32686887237139;,184838365241909;-,592618775401597;,318726010235551;,707510133039571;,335999545732175;,82614450548462;1,02842751453432;1,44853828057578;,634374554651912;,140969141538418;,0365406822806684;1;3,32686887237139
Buick;LeSabre;83,257;13,36;0;27,885;3,8;205;112,2;73,5;200;3,591;17,5;25;4,42193220940977;-,411491936861742;-,592618775401597;,0344382040712163;,707510133039571;,335999545732175;,616756133663985;,680790044832577;,942275296905908;,337785315562525;-,116237713198343;,270037158265005;1;4,42193220940977
Cadillac;DeVille;63,729;22,525;0;39,895;4,6;275;115,3;74,5;207,2;3,978;18,5;22;4,15463971800586;,388708241583348;-,592618775401597;,871275594275544;1,47331468293843;1,57056046073734;1,02244610406647;,970487936250692;1,47831845608577;,951582296993503;,140969141538418;-,430452269688004;1;4,15463971800586
Cadillac;Seville;15,943;27,1;0;44,475;4,6;275;112,2;75;201; ;18,5;22;2,76901986142523;,788153502509293;-,592618775401597;1,19040259237178;1,47331468293843;1,57056046073734;,616756133663985;1,11533688195975;1,01672573568089; ;,140969141538418;-,430452269688004;1;2,76901986142523
Cadillac;Eldorado;6,536;25,725;0;39,665;4,6;275;108;75,5;200,6;3,843;19;22;1,8773253575577;,668101648132643;-,592618775401597;,855249565986868;1,47331468293843;1,57056046073734;,0671116576348152;1,26018582766881;,986945560170896;,737467070912929;,269572568906798;-,430452269688004;1;1,8773253575577
Cadillac;Catera;11,185;18,225;0;31,01;3;200;107,4;70,3;194,8;3,77;18;22;2,41457359494209;,013273351532733;-,592618775401597;,252183153645615;-,058294416859287;,247816623231806;-,0114089817979225;-,246243207705392;,555133015276011;,621686244958249;,0123657141700376;-,430452269688004;1;2,41457359494209
Chevrolet;Cavalier;145,519;9,25;0;13,26;2,2;115;104,1;67,9;180,9;2,676;14,3;27;4,98030666227861;-,770337843398492;-,592618775401597;-,984608159936968;-,824098966758145;-1,25129305927446;-,443272498677985;-,941518147108865;-,479728083696218;-1,11344010565025;-,939299648355977;,737030110233678;1;4,98030666227861
Chevrolet;Malibu;135,126;11,225;0;16,535;3,1;170;107;69,4;190,4;3,051;15;25;4,90620767648703;-,59789972529385;-,592618775401597;-,756411452782999;,0374311518780703;-,281280911770406;-,0637560747530822;-,506971309981693;,227551084666096;-,518675588759769;-,759254850040245;,270037158265005;1;4,90620767648703
Chevrolet;Lumina;24,629;10,31;0;18,89;3,1;175;107,5;72,5;200,9;3,33;16,6;25;3,20392461041499;-,677788777479038;-,592618775401597;-,592318858783732;,0374311518780703;-,193097989270037;,00167779144086652;,391092153414462;1,00928069180339;-,0761707881932504;-,347723882461427;,270037158265005;1;3,20392461041499
Chevrolet;Monte Carlo;42,593;11,525;0;19,39;3,4;180;110,5;72,7;197,9;3,34;17;27;3,75168992052461;-,571706593429853;-,592618775401597;-,557479666851828;,324607858090142;-,104915066769669;,394280988604559;,449031731698086;,785929375478449;-,0603104010761712;-,244841140566723;,737030110233678;1;3,75168992052461
Chevrolet;Camaro;26,402;13,025;0;24,34;3,8;200;101,1;74,1;193,2;3,5;16,8;25;3,27343976485857;-,440740934109871;-,592618775401597;-,212571666725981;,707510133039571;,247816623231806;-,835875695841677;,854608779683444;,43601231323604;,193455792797101;-,296282511514075;,270037158265005;1;3,27343976485857
Chevrolet;Corvette;17,947;36,225;0;45,705;5,7;345;104,5;73,6;179,7;3,21;19,1;22;2,88742297004714;1,58486126337252;-,592618775401597;1,27610700452427;2,52629593904936;2,8051213757425;-,390925405722826;,709759833974387;-,569068610226195;-,266495433598205;,295293254380475;-,430452269688004;1;2,88742297004714
Chevrolet;Prizm;32,299;9,125;0;13,96;1,8;120;97,1;66,7;174,3;2,398;13,2;33;3,47503626999703;-,781251648341824;-,592618775401597;-,935833291232303;-1,20700124170757;-1,16311013677409;-1,35934662539327;-1,2891556168106;-,971100979611088;-1,55435886750506;-1,22222718856641;2,1380089661397;1;3,47503626999703
Chevrolet;Metro;21,855;5,16;0;9,235;1;55;93,1;62,6;149,4;1,895;10,3;45;3,08442972831528;-1,12743754114431;-,592618775401597;-1,26506365498879;-1,97280579160643;-2,30948812927889;-1,88281755494486;-2,47691697162488;-2,8249169051081;-2,35213633949416;-1,96812706730302;4,93996667795173;0;3,08442972831528
Chevrolet;Impala;107,995; ;0;18,89;3,4;180;110,5;73;200;3,389;17;27;4,68208492975622; ;-,592618775401597;-,592318858783732;,324607858090142;-,104915066769669;,394280988604559;,535941099123519;,942275296905908;,0174054957975184;-,244841140566723;,737030110233678;1;4,68208492975622
Chrysler;Sebring Coupe;7,854;12,36;0;19,84;2,5;163;103,7;69,7;190,9;2,967;15,9;24;2,06102295615582;-,498802376408397;-,592618775401597;-,526124394113115;-,536922260546073;-,404737003270923;-,495619591633143;-,420061942556259;,264776304053587;-,651902840543237;-,52776868077716;,0365406822806684;1;2,06102295615582
Chrysler;Sebring Conv.;32,775;14,18;0;24,495;2,5;168;106;69,2;193;3,332;16;24;3,48966602964976;-,339897376433485;-,592618775401597;-,201771517227091;-,536922260546073;-,316554080770554;-,19462380714098;-,564910888265317;,421122225481045;-,0729987107698348;-,502047995303484;,0365406822806684;1;3,48966602964976
Chrysler;Concorde;31,148;13,725;0;22,245;2,7;200;113;74,4;209,1;3,452;17;26;3,43875003771474;-,379623626427213;-,592618775401597;-,358547880920658;-,345471123071359;,247816623231806;,721450319574302;,941518147108882;1,61977428975823;,11732593463512;-,244841140566723;,503533634249341;1;3,43875003771474
Chrysler;Cirrus;32,306;12,64;0;16,48;2;132;108;71;186;2,911;16;27;3,47525297149157;-,474355453335333;-,592618775401597;-,760243763895508;-1,01555010423286;-,951471122773209;,0671116576348152;-,0434546837127107;-,100030845943818;-,740721008398883;-,502047995303484;,737030110233678;1;3,47525297149157
Chrysler;LHS;13,462;17,325;0;28,34;3,5;253;113;74,4;207,7;3,564;17;23;2,59987090158852;-,0653060440592564;-,592618775401597;,0661418687292486;,420333426827499;1,18255560173572;,721450319574302;,941518147108882;1,51554367547326;,294962270346411;-,244841140566723;-,196955793703668;1;2,59987090158852
Chrysler;300M;30,696; ;0;29,185;3,5;253;113;74,4;197,8;3,567;17;23;3,42413235294465; ;-,592618775401597;,125020103094166;,420333426827499;1,18255560173572;,721450319574302;,941518147108882;,778484331600952;,299720386481535;-,244841140566723;-,196955793703668;1;3,42413235294465
Dodge;Neon;76,034;7,75;0;12,64;2;132;105;74,4;174,4;2,567;12,5;29;4,33118060866797;-,901303502718474;-,592618775401597;-1,02780875793253;-1,01555010423286;-,951471122773209;-,325491539528877;,941518147108882;-,96365593573359;-1,28631832522642;-1,40227198688215;1,20402306220235;1;4,33118060866797
Dodge;Avenger;4,734;12,545;0;19,045;2,5;163;103,7;69,1;190,2;2,879;15,9;24;1,55477051109179;-,482649945092265;-,592618775401597;-,581518709284842;-,536922260546073;-,404737003270923;-,495619591633143;-,593880677407131;,212660996911099;-,791474247173537;-,52776868077716;,0365406822806684;1;1,55477051109179
Dodge;Stratus;71,186;10,185;0;20,23;2,5;168;108;71;186;3,058;16;24;4,26529616987039;-,68870258242237;-,592618775401597;-,49894982440623;-,536922260546073;-,316554080770554;,0671116576348152;-,0434546837127107;-,100030845943818;-,507573317777814;-,502047995303484;,0365406822806684;1;4,26529616987039
Dodge;Intrepid;88,028;12,275;0;22,505;2,7;202;113;74,7;203,7;3,489;17; ;4,47765494568729;-,506223763769862;-,592618775401597;-,340431501116068;-,345471123071359;,283089792231954;,721450319574302;1,02842751453432;1,21774192037333;,176009366968314;-,244841140566723; ;1;4,47765494568729
Dodge;Viper;,916;58,47;0;69,725;8;450;96,2;75,7;176,7;3,375;19;16;-,0877389143080068;3,52708199108785;-,592618775401597;2,94978178493292;4,72798402000858;4,65696274825025;-1,47712758454237;1,31812540595243;-,792419926551137;-,00479904616639264;,269572568906798;-1,83143112559402;1;-,0877389143080068
Ford;Escort;70,227;7,425;0;12,07;2;110;98,4;67;174,7;2,468;12,7;30;4,25173285247084;-,929679395571137;-,592618775401597;-1,0675254367349;-1,01555010423286;-1,33947598177483;-1,189218573289;-1,20224624938517;-,941320804101097;-1,44333615768551;-1,35083061593479;1,43751953818669;1;4,25173285247084
Ford;Mustang;113,369;12,76;0;21,56;3,8;190;101,3;73,1;183,2;3,203;15,7;24;4,73064798531494;-,463878200589735;-,592618775401597;-,406277573867366;,707510133039571;,0714507782310689;-,809702149364098;,564910888265329;-,308492074513764;-,277597704580161;-,579210051724512;,0365406822806684;1;4,73064798531494
Ford;Contour;35,068;8,835;0;17,035;2,5;170;106,5;69,1;184,6;2,769;15;25;3,55728903372634;-,806571675810354;-,592618775401597;-,721572260851095;-,536922260546073;-,281280911770406;-,129189940947031;-,593880677407131;-,204261460228791;-,965938505461412;-,759254850040245;,270037158265005;1;3,55728903372634
Ford;Taurus;245,815;10,055;0;17,885;3;155;108,5;73;197,6;3,368;16;24;5,50457922049373;-,700052939563435;-,592618775401597;-,662345634566859;-,058294416859287;-,545829679271513;,132545523828764;,535941099123519;,763594243845955;-,0159013171483485;-,502047995303484;,0365406822806684;1;5,50457922049373
Ford;Focus;175,67; ;0;12,315;2;107;103;66,9;174,8;2,564;13,2;30;5,16860723502529; ;-,592618775401597;-1,05045423268827;-1,01555010423286;-1,39238573527505;-,587227004304672;-1,23121603852698;-,933875760223598;-1,29107644136154;-1,22222718856641;1,43751953818669;1;5,16860723502529
Ford;Crown Victoria;63,403;14,21;0;22,195;4,6;200;114,7;78,2;212;3,908;19;21;4,14951117893568;-,337278063247085;-,592618775401597;-,362031800113848;1,47331468293843;,247816623231806;,943925464633728;2,04237013449772;1,83568056220567;,840559587173946;,269572568906798;-,663948745672341;1;4,14951117893568
Honda;Civic;199,685;9,85;0;12,885;1,6;106;103,2;67,1;175,1;2,339;11,9;32;5,29674112493167;-,7179515796705;-,592618775401597;-1,0107375538859;-1,39845237918229;-1,41002231977513;-,561053457827092;-1,17327646024336;-,911540628591105;-1,64793515149583;-1,5565960997242;1,90451249015536;1;5,29674112493167
Honda;Accord;230,902;13,21;0;15,35;2,3;135;106,9;70,3;188,8;2,932;17,1;27;5,44199337808127;-,42458850279374;-,592618775401597;-,838980337661611;-,728373398020788;-,898561369272988;-,0768428479918712;-,246243207705392;,108430382626128;-,707414195453016;-,219120455093047;,737030110233678;1;5,44199337808127
Hyundai;Accent;41,184;5,86;0;9,699;1,5;92;96,1;65,7;166,7;2,24;11,9;31;3,71804983141372;-1,06632023346165;-,592618775401597;-1,23273288487599;-1,49417794791965;-1,65693450277616;-1,49021435778116;-1,57885350822872;-1,53692431430094;-1,80495298395492;-1,5565960997242;1,67101601417102;1;3,71804983141372
Hyundai;Elantra;66,692;7,825;0;11,799;2;140;100,4;66,9;174;2,626;14,5;27;4,20008500569821;-,894755219752475;-,592618775401597;-1,08640827876199;-1,01555010423286;-,810378446772619;-,927483108513204;-1,23121603852698;-,993436111243583;-1,19274204123565;-,887858277408625;,737030110233678;1;4,20008500569821
Hyundai;Sonata;29,45;8,91;0;14,999;2,4;148;106,3;71,6;185,4;3,072;17,2;25;3,3826939100976;-,800023392844355;-,592618775401597;-,863437450397807;-,632647829283431;-,669285770772029;-,155363487424611;,130364051138157;-,144701109208806;-,485368775813902;-,193399769619371;,270037158265005;1;3,3826939100976
Infiniti;I30;23,713;19,69;0;29,465;3;227;108,3;70,2;193,7;3,342;18,5;25;3,16602342096397;,141183145468582;-,592618775401597;,144530050576032;-,058294416859287;,724004404733798;,106371977351184;-,275212996847202;,47323753262353;-,057138323652755;,140969141538418;,270037158265005;1;3,16602342096397
Jaguar;S-Type;15,467; ;0;42,8;3;240;114,5;71,6;191,3;3,65;18,4;21;2,738708722056; ;-,592618775401597;1,0736912993999;-,058294416859287;,953280003234757;,917751918156148;,130364051138157;,294556479563579;,431361599553294;,115248456064741;-,663948745672341;1;2,738708722056
Lexus;ES300;24,072;26,975;0;31,505;3;210;105,1;70,5;190,2;3,373;18,5;23;3,18104933932774;,777239697565961;-,592618775401597;,286673953658199;-,058294416859287;,424182468232544;-,312404766290088;-,188303629421768;,212660996911099;-,0079711235898082;,140969141538418;-,196955793703668;1;3,18104933932774
Lexus;GS300;12,698;32,075;0;37,805;3;225;110,2;70,9;189,2;3,638;19,8;23;2,54144450074826;1,2225229392539;-,592618775401597;,725647772000186;-,058294416859287;,68873123573365;,35502066888819;-,0724244728545205;,138210558136119;,412329135012799;,475338052696207;-,196955793703668;1;2,54144450074826
Lexus;GS400;3,334; ;0;46,305;4;300;110,2;70,9;189,2;3,693;19,8;21;1,2041727843286; ;-,592618775401597;1,31791403484255;,898961270514286;2,01147507323918;,35502066888819;-,0724244728545205;,138210558136119;,499561264156736;,475338052696207;-,663948745672341;1;1,2041727843286
Lexus;LS400;6,375;40,375;0;54,005;4;290;112,2;72;196,7;3,89;22,5;22;1,85238409104449;1,94719958749113;-,592618775401597;1,85443759059387;,898961270514286;1,83510922823844;,616756133663985;,246243207705404;,696588848948472;,812010890363203;1,16979656048546;-,430452269688004;1;1,85238409104449
Lincoln;Continental;13,798;20,525;0;39,08;4,6;275;109;73,6;208,5;3,868;20;22;2,62452365412392;,214087362490038;-,592618775401597;,814487711426541;1,47331468293843;1,57056046073734;,197979390022713;,709759833974387;1,57510402649324;,777118038705628;,526779423643559;-,430452269688004;1;2,62452365412392
Lincoln;Town car;48,911;21,725;0;43,33;4,6;215;117,7;78,2;215,3;4,121;19;21;3,89000232005888;,318859889946024;-,592618775401597;1,11062084284772;1,47331468293843;,512365390732913;1,33652866179742;2,04237013449772;2,08136701016311;1,17838583276774;,269572568906798;-,663948745672341;1;3,89000232005888
Mitsubishi;Mirage;26,232;8,325;0;13,987;1,8;113;98,4;66,5;173,6;2,25;13,2;30;3,26698003954235;-,851099999979148;-,592618775401597;-,93395197486798;-1,20700124170757;-1,28656622827461;-1,189218573289;-1,34709519509423;-1,02321628675358;-1,78909259683784;-1,22222718856641;1,43751953818669;1;3,26698003954235
Mitsubishi;Eclipse;42,541;10,395;0;19,047;2,4;154;100,8;68,9;175,4;2,91;15,9;24;3,75046831678306;-,670367390117573;-,592618775401597;-,581379352517114;-,632647829283431;-,563466263771586;-,875136015558046;-,65182025569075;-,88920549695861;-,74230704711059;-,52776868077716;,0365406822806684;1;3,75046831678306
Mitsubishi;Galant;55,616;10,595;0;17,357;2,4;145;103,7;68,5;187,8;2,945;16,3;25;4,01847092964293;-,652905302208242;-,592618775401597;-,699135821246949;-,632647829283431;-,72219552427225;-,495619591633143;-,767699412257998;,0339799438511477;-,686795692200813;-,424885938882455;,270037158265005;1;4,01847092964293
Mitsubishi;Diamante;5,711;16,575;0;24,997;3,5;210;107,1;70,3;194,1;3,443;19;22;1,74239413968273;-,130788873719247;-,592618775401597;-,16679296852746;,420333426827499;,424182468232544;-,0506693015142932;-,246243207705392;,503017708133523;,103051586229748;,269572568906798;-,430452269688004;1;1,74239413968273
Mitsubishi;3000GT;,11;20,94;0;25,45;3;161;97,2;72,4;180,3;3,131;19,8;21;-2,20727491318972;,2503211949019;-,592618775401597;-,135228660637155;-,058294416859287;-,44001017227107;-1,34625985215448;,362122364272652;-,524398346961205;-,391792491823134;,475338052696207;-,663948745672341;1;-2,20727491318972
Mercury;Mystique;14,351;8,8;0;16,24;2;125;106,5;69,1;184,8;2,769;15;28;2,66381962618879;-,809627541194487;-,592618775401597;-,776966576022822;-1,01555010423286;-1,07492721427373;-,129189940947031;-,593880677407131;-,189371372473794;-,965938505461412;-,759254850040245;,970526586218014;1;2,66381962618879
Mercury;Cougar;26,529;13,89;0;16,54;2;125;106,4;69,6;185;2,892;16;30;3,27823847426171;-,365217403902015;-,592618775401597;-,75606306086368;-1,01555010423286;-1,07492721427373;-,14227671418582;-,449031731698073;-,174481284718798;-,770855743921334;-,502047995303484;1,43751953818669;1;3,27823847426171
Mercury;Sable;67,956;11,03;0;19,035;3;153;108,5;73;199,7;3,379;16;24;4,21886043691967;-,614925261005447;-,592618775401597;-,58221549312348;-,058294416859287;-,58110284827166;,132545523828764;,535941099123519;,919940165273413;,00154510868043917;-,502047995303484;,0365406822806684;1;4,21886043691967
Mercury;Grand Marquis;81,174;14,875;0;22,605;4,6;200;114,7;78,2;212;3,958;19;21;4,39659499884928;-,27921662094856;-,592618775401597;-,333463662729687;1,47331468293843;,247816623231806;,943925464633728;2,04237013449772;1,83568056220567;,919861522759344;,269572568906798;-,663948745672341;1;4,39659499884928
Mercedes-Benz;C-Class;18,392;26,05;0;31,75;2,3;185;105,9;67,7;177,4;3,25;16,4;26;2,91191578746088;,696477540985305;-,592618775401597;,303745157704832;-,728373398020788;-,0167321442692999;-,207710580379769;-,999457725392489;-,740304619408649;-,203053885129887;-,39916525340878;,503533634249341;1;2,91191578746088
Mercedes-Benz;E-Class;27,602;41,45;0;49,9;3,2;221;111,5;70,8;189,4;3,823;21,1;25;3,31788823386585;2,04105831000379;-,592618775401597;1,56840782483294;,133156720615428;,618184897733355;,525148720992456;-,101394261996334;,153100645891116;,70574629667877;,809706963853996;,270037158265005;1;3,31788823386585
Mercedes-Benz;S-Class;16,774;50,375;0;69,7;4,3;275;121,5;73,1;203,1;4,133;23,2;21;2,81983006856222;2,82030398295768;-,592618775401597;2,94803982533633;1,18613797672636;1,57056046073734;1,83382604487143;,564910888265329;1,17307165710835;1,19741829730824;1,34984135880119;-,663948745672341;1;2,81983006856222
Mercedes-Benz;SL-Class;3,311;58,6;0;82,6;5;302;99;71,3;177,1;4,125;21,1;20;1,19725025856511;3,53843234822891;-,592618775401597;3,84689097717944;1,85621695788786;2,04674824223933;-1,11069793385626;,043454683712723;-,762639751041144;1,18472998761457;,809706963853996;-,897445221656677;1;1,19725025856511
Mercedes-Benz;SLK;7,998; ;0;38,9;2,3;190;94,5;67,5;157,9;3,055;15,9;26;2,07919151042463; ;-,592618775401597;,801945602331055;-,728373398020788;,0714507782310689;-1,6996027296018;-1,05739730367611;-2,19208817552077;-,512331433912937;-,52776868077716;,503533634249341;1;2,07919151042463
Mercedes-Benz;SLK230;1,526; ;0;41;2,3;185;94,5;67,5;157,3;2,975;14;27;,422649932862265; ;-,592618775401597;,948270208445051;-,728373398020788;-,0167321442692999;-1,6996027296018;-1,05739730367611;-2,23675843878576;-,639214530849574;-1,01646170477701;,737030110233678;1;,422649932862265
Mercedes-Benz;CLK Coupe;11,592; ;0;41,6;3,2;215;105,9;67,8;180,3;3,213;16,4;26;2,45031520501838; ;-,592618775401597;,990077238763336;,133156720615428;,512365390732913;-,207710580379769;-,970487936250679;-,524398346961205;-,261737317463081;-,39916525340878;,503533634249341;1;2,45031520501838
Mercedes-Benz;CL500;,954; ;0;85,5;5;302;113,6;73,1;196,6;4,115;23,2;20;-,0470916075338506; ;-,592618775401597;4,04895829038448;1,85621695788786;2,04674824223933;,79997095900704;,564910888265329;,689143805070974;1,16886960049749;1,34984135880119;-,897445221656677;1;-,0470916075338506
Nissan;Sentra;42,643;8,45;0;13,499;1,8;126;99,8;67,3;177,5;2,593;13,2;30;3,75286313385548;-,840186195035816;-,592618775401597;-,967955026193518;-1,20700124170757;-1,05729062977365;-1,00600374794594;-1,11533688195974;-,732859575531152;-1,24508131872201;-1,22222718856641;1,43751953818669;1;3,75286313385548
Nissan;Altima;88,094;11,295;0;20,39;2,4;155;103,1;69,1;183,5;3,012;15,9;25;4,47840442619613;-,591787994525584;-,592618775401597;-,487801282988021;-,632647829283431;-,545829679271513;-,574140231065883;-,593880677407131;-,286156942881269;-,580531098516379;-,52776868077716;,270037158265005;1;4,47840442619613
Nissan;Maxima;79,853;15,125;0;26,249;3;222;108,3;70,3;190,5;3,294;18,5;25;4,38018744439985;-,257389011061896;-,592618775401597;-,0795556319299729;-,058294416859287;,635821482233429;,106371977351184;-,246243207705392;,234996128543594;-,133268181814737;,140969141538418;,270037158265005;1;4,38018744439985
