manufact;model;sales;resale;type;price;engine_s;horsepow;wheelbas;width;length;curb_wgt;fuel_cap;mpg;lnsales;zresale;ztype;zprice;zengine_;zhorsepo;zwheelba;zwidth;zlength;zcurb_wg;zfuel_ca;zmpg;filter_$;logSales
Oldsmobile;Cutlass;1,112;11,24;0;18,145;3,1;150;107;69,4;192;3,102;15,2;25;,106160195828391;-,59659006870065;-,592618775401597;-,644229254762269;,0374311518780703;-,634012601771881;-,0637560747530822;-,506971309981693;,346671786706065;-,437787614462664;-,707813479092893;,270037158265005;1;,106160195828391
Oldsmobile;Intrigue;38,554; ;0;24,15;3,5;215;109;73,6;195,9;3,455;18; ;3,6520598559754; ;-,592618775401597;-,225810559660105;,420333426827499;,512365390732913;,197979390022713;,709759833974387;,637028497928489;,122084050770244;,0123657141700376; ;1;3,6520598559754
Oldsmobile;Alero;80,255; ;0;18,27;2,4;150;107;70,1;186,7;2,958;15;27;4,38520906536518; ;-,592618775401597;-,635519456779293;-,632647829283431;-,634012601771881;-,0637560747530822;-,304182785989016;-,0479155388013325;-,666177188948609;-,759254850040245;,737030110233678;1;4,38520906536518
Oldsmobile;Aurora;14,69;19,89;0;36,229;4;250;113,8;74,4;205,4;3,967;18,5;22;2,68716699018579;,158645233377913;-,592618775401597;,615834639030826;,898961270514286;1,12964584823549;,82614450548462;,941518147108882;1,3443076662908;,934135871164716;,140969141538418;-,430452269688004;1;2,68716699018579
Plymouth;Neon;32,734;7,75;0;12,64;2;132;105;74,4;174,4;2,559;12,5;29;3,48841429308369;-,901303502718474;-,592618775401597;-1,02780875793253;-1,01555010423286;-,951471122773209;-,325491539528877;,941518147108882;-,96365593573359;-1,29900663492008;-1,40227198688215;1,20402306220235;1;3,48841429308369
Plymouth;Breeze;5,24;9,8;0;16,08;2;132;108;71;186,3;2,942;16;27;1,65632149833295;-,722317101647832;-,592618775401597;-,788115117441031;-1,01555010423286;-,951471122773209;,0671116576348152;-,0434546837127107;-,0776957143113229;-,691553808335936;-,502047995303484;,737030110233678;1;1,65632149833295
Plymouth;Prowler;1,872; ;0;43;3,5;253;113,3;76,3;165,4;2,85;12;21;,6270073780554; ;-,592618775401597;1,08762697617267;,420333426827499;1,18255560173572;,760710639290671;1,4919441408033;-1,63370988470841;-,837469369813068;-1,53087541425053;-,663948745672341;1;,6270073780554
Pontiac;Sunfire;51,645;13,79;0;21,61;2,4;150;104,1;68,4;181,9;2,906;15;27;3,9443933854586;-,37394844785668;-,592618775401597;-,402793654674176;-,632647829283431;-,634012601771881;-,443272498677985;-,796669201399808;-,405277644921237;-,748651201957422;-,759254850040245;,737030110233678;1;3,9443933854586
Pontiac;Grand Am;131,097;10,29;0;19,72;3,4;175;107;70,4;186,3;3,091;15,2;25;4,87593750721263;-,679534986269972;-,592618775401597;-,534485800176772;,324607858090142;-,193097989270037;-,0637560747530822;-,217273418563578;-,0776957143113229;-,455234040291451;-,707813479092893;,270037158265005;1;4,87593750721263
Pontiac;Firebird;19,911;17,805;0;25,31;3,8;200;101,1;74,5;193,4;3,492;16,8;25;2,9912723428319;-,0233970330768621;-,592618775401597;-,144983634378088;,707510133039571;,247816623231806;-,835875695841677;,970487936250692;,450902400991038;,180767483103438;-,296282511514075;,270037158265005;1;2,9912723428319
Pontiac;Grand Prix;92,364;14,01;0;21,665;3,8;195;110,5;72,7;196,5;3,396;18;25;4,52573729234018;-,354740151156416;-,592618775401597;-,398961343561666;,707510133039571;,159633700731438;,394280988604559;,449031731698086;,681698761193477;,0285077667794742;,0123657141700376;,270037158265005;1;4,52573729234018
Pontiac;Bonneville;35,945;13,225;0;23,755;3,8;205;112,2;72,6;202,5;3,59;17,5;24;3,58198999243584;-,42327884620054;-,592618775401597;-,253333521286309;,707510133039571;,335999545732175;,616756133663985;,420061942556272;1,12840139384336;,336199276850817;-,116237713198343;,0365406822806684;1;3,58198999243584
Porsche;Boxter;8,982;41,25;0;41,43;2,7;217;95,2;70,1;171;2,778;17;22;2,19522257466555;2,02359622209446;-,592618775401597;,978231913506488;-,345471123071359;,54763855973306;-1,60799531693027;-,304182785989016;-1,21678742756852;-,95166415705604;-,244841140566723;-,430452269688004;1;2,19522257466555
Porsche;Carrera Coupe;1,28;60,625;0;71,02;3,4;300;92,6;69,5;174,5;3,032;17;21;,246860077931526;3,71523598831089;-,592618775401597;3,04001529203655;,324607858090142;2,01147507323918;-1,94825142113881;-,478001520839883;-,956210891856093;-,54881032428222;-,244841140566723;-,663948745672341;1;,246860077931526
Porsche;Carrera Cabriolet;1,866;67,55;0;74,97;3,4;300;92,6;69,5;174,5;3,075;17;23;,623797102425152;4,31986078217147;-,592618775401597;3,31524490829859;,324607858090142;2,01147507323918;-1,94825142113881;-,478001520839883;-,956210891856093;-,480610659678778;-,244841140566723;-,196955793703668;1;,623797102425152
Saab;9-5;9,191; ;0;33,12;2,3;170;106,4;70,6;189,2;3,28;18,5;23;2,21822474437597; ;-,592618775401597;,399204543598248;-,728373398020788;-,281280911770406;-,14227671418582;-,159333840279958;,138210558136119;-,155472723778648;,140969141538418;-,196955793703668;1;2,21822474437597
Saab;9-3;12,115; ;0;26,1;2;185;102,6;67,4;182,2;2,99;16,9;23;2,49444435426849; ;-,592618775401597;-,0899377111256801;-1,01555010423286;-,0167321442692999;-,639574097259831;-1,08636709281792;-,382942513288744;-,615423950173954;-,2705618260404;-,196955793703668;1;2,49444435426849
Saturn;SL;80,62;9,2;0;10,685;1,9;100;102,4;66,4;176,9;2,332;12,1;33;4,38974675768902;-,774703365375825;-,592618775401597;-1,16402999838627;-1,11127567297022;-1,51584182677557;-,665747643737409;-1,37606498423604;-,777529838796139;-1,65903742247779;-1,50515472877685;2,1380089661397;1;4,38974675768902
Saturn;SC;24,546;10,59;0;12,535;1,9;100;102,4;66,4;180;2,367;12,1;33;3,20054890817532;-,653341854405975;-,592618775401597;-1,03512498823823;-1,11127567297022;-1,51584182677557;-,665747643737409;-1,37606498423604;-,5467334785937;-1,60352606756801;-1,50515472877685;2,1380089661397;1;3,20054890817532
Saturn;SW;5,223;10,79;0;14,29;1,9;124;102,4;66,4;176,9;2,452;12,1;31;1,65307194945416;-,635879766496644;-,592618775401597;-,912839424557246;-1,11127567297022;-1,0925637987738;-,665747643737409;-1,37606498423604;-,777529838796139;-1,46871277707283;-1,50515472877685;1,67101601417102;1;1,65307194945416
Saturn;LW;8,472; ;0;18,835;2,2;137;106,5;69;190,4;3,075;13,1;27;2,13676660829911; ;-,592618775401597;-,596151169896241;-,824098966758145;-,86328820027284;-,129189940947031;-,622850466548941;,227551084666096;-,480610659678778;-1,24794787404009;,737030110233678;1;2,13676660829911
Saturn;LS;49,989; ;0;15,01;2,2;137;106,5;69;190,4;2,91;13,1;28;3,9118029812246; ;-,592618775401597;-,862670988175305;-,824098966758145;-,86328820027284;-,129189940947031;-,622850466548941;,227551084666096;-,74230704711059;-1,24794787404009;,970526586218014;1;3,9118029812246
Subaru;Outback;47,107; ;0;22,695;2,5;165;103,5;67,5;185,8;3,415;16,9;25;3,85242160993706; ;-,592618775401597;-,327192608181945;-,536922260546073;-,369463834270775;-,521793138110723;-1,05739730367611;-,114920933698813;,0586425023019255;-,2705618260404;,270037158265005;1;3,85242160993706
Toyota;Corolla;142,535;10,025;0;13,108;1,8;120;97;66,7;174;2,42;13,2;33;4,9595875835856;-,702672252749835;-,592618775401597;-,995199274284267;-1,20700124170757;-1,16311013677409;-1,37243339863206;-1,2891556168106;-,993436111243583;-1,51946601584749;-1,22222718856641;2,1380089661397;1;4,9595875835856
Toyota;Camry;247,994;13,245;0;17,518;2,2;133;105,2;70,1;188,5;2,998;18,5;27;5,51340455232393;-,421532637409607;-,592618775401597;-,687917601444876;-,824098966758145;-,933834538273135;-,299317993051297;-,304182785989016;,0860952509936331;-,602735640480291;,140969141538418;,737030110233678;1;5,51340455232393
Toyota;Avalon;63,849;18,14;0;25,545;3;210;107,1;71,7;191,9;3,417;18,5;26;4,15652092064878;,00585196417126727;-,592618775401597;-,128609214170093;-,058294416859287;,424182468232544;-,0506693015142932;,159333840279971;,339226742828567;,0618145797253411;,140969141538418;,503533634249341;1;4,15652092064878
Toyota;Celica;33,269;15,445;0;16,875;1,8;140;102,4;68,3;170,5;2,425;14,5;31;3,50462603247016;-,229449670406967;-,592618775401597;-,732720802269304;-1,20700124170757;-,810378446772619;-,665747643737409;-,825638990541622;-1,25401264695601;-1,51153582228895;-,887858277408625;1,67101601417102;1;3,50462603247016
Volkswagen;Golf;9,761;11,425;0;14,9;2;115;98,9;68,3;163,3;2,767;14,5;26;2,27839485419283;-,580437637384519;-,592618775401597;-,870335610400324;-1,01555010423286;-1,25129305927446;-1,12378470709505;-,825638990541622;-1,79005580613587;-,969110582884828;-,887858277408625;,503533634249341;1;2,27839485419283
Volkswagen;Jetta;83,721;13,24;0;16,7;2;115;98,9;68,3;172,3;2,853;14,5;26;4,42748984208363;-,42196918960734;-,592618775401597;-,744914519445471;-1,01555010423286;-1,25129305927446;-1,12378470709505;-,825638990541622;-1,12000185716105;-,832711253677944;-,887858277408625;,503533634249341;1;4,42748984208363
Volkswagen;Passat;51,102;16,725;0;21,2;1,8;150;106,4;68,5;184,1;3,043;16,4;27;3,933823635387;-,117692307787249;-,592618775401597;-,431361792058337;-1,20700124170757;-,634012601771881;-,14227671418582;-,767699412257998;-,241486679616281;-,531363898453433;-,39916525340878;,737030110233678;1;3,933823635387
Volkswagen;Cabrio;9,569;16,575;0;19,99;2;115;97,4;66,7;160,4;3,079;13,7;26;2,25852870679713;-,130788873719247;-,592618775401597;-,515672636533544;-1,01555010423286;-1,25129305927446;-1,3200863056769;-1,2891556168106;-2,00596207858332;-,474266504831946;-1,09362376119803;,503533634249341;1;2,25852870679713
Volkswagen;GTI;5,596;13,76;0;17,5;2;115;98,9;68,3;163,3;2,762;14,6;26;1,72205205680323;-,37656776104308;-,592618775401597;-,689171812354424;-1,01555010423286;-1,25129305927446;-1,12378470709505;-,825638990541622;-1,79005580613587;-,977040776443368;-,862137591934949;,503533634249341;1;1,72205205680323
Volkswagen;Beetle;49,463; ;0;15,9;2;115;98,9;67,9;161,1;2,769;14,5;26;3,90122491532863; ;-,592618775401597;-,800657226536516;-1,01555010423286;-1,25129305927446;-1,12378470709505;-,941518147108865;-1,95384677144083;-,965938505461412;-,887858277408625;,503533634249341;1;3,90122491532863
Volvo;S40;16,957; ;0;23,4;1,9;160;100,5;67,6;176,6;2,998;15,8;25;2,83068072792499; ;-,592618775401597;-,27806934755796;-1,11127567297022;-,457646756771144;-,914396335274415;-1,0284275145343;-,799864970428634;-,602735640480291;-,553489366250836;,270037158265005;1;2,83068072792499
Volvo;V40;3,545; ;0;24,4;1,9;160;100,5;67,6;176,6;3,042;15,8;25;1,26553815998409; ;-,592618775401597;-,208390963694153;-1,11127567297022;-,457646756771144;-,914396335274415;-1,0284275145343;-,799864970428634;-,532949937165141;-,553489366250836;,270037158265005;1;1,26553815998409
Volvo;S70;15,245; ;0;27,5;2,4;168;104,9;69,3;185,9;3,208;17,9;25;2,72425158044022; ;-,592618775401597;,00761202628365031;-,632647829283431;-,316554080770554;-,338578312767666;-,535941099123507;-,107475889821316;-,26966751102162;-,0133549713036389;,270037158265005;1;2,72425158044022
Volvo;V70;17,531; ;0;28,8;2,4;168;104,9;69,3;186,2;3,259;17,9;25;2,86397074237174; ;-,592618775401597;,0981939253066001;-,632647829283431;-,316554080770554;-,338578312767666;-,535941099123507;-,0851407581888227;-,188779536724515;-,0133549713036389;,270037158265005;1;2,86397074237174
Volvo;C70;3,493; ;0;45,5;2,3;236;104,9;71,5;185,7;3,601;18,5;23;1,2507609658247; ;-,592618775401597;1,26182293583218;-,728373398020788;,882733665234462;-,338578312767666;,101394261996347;-,122365977576313;,353645702679605;,140969141538418;-,196955793703668;1;1,2507609658247
Volvo;S80;18,969; ;0;36;2,9;201;109,9;72,1;189,8;3,6;21,1;24;2,94280606774459; ;-,592618775401597;,599878289126014;-,154019985596644;,26545320773188;,315760349171821;,275212996847214;,182880821401109;,352059663967897;,809706963853996;,0365406822806684;1;2,94280606774459
Cadillac;Escalade;14,785; ;1;46,225;5,7;255;117,5;77;201,2;5,572;30;15;2,69361315330444; ;1,67667751089232;1,31233976413345;2,52629593904936;1,21782877073586;1,31035511531984;1,69473266479598;1,03161582343588;3,47972800345598;3,09884797101117;-2,06492760157836;1;2,69361315330444
Chrysler;Town & Country;53,48;19,54;1; ; ; ; ; ; ; ; ; ;3,97930775223374;,128086579536584;1,67667751089232; ; ; ; ; ; ; ; ; ;1;3,97930775223374
Dodge;Ram Pickup;227,061;15,06;1;19,46;5,2;230;138,7;79,3;224,2;4,47;26;17;5,42521870384895;-,263064189632429;1,67667751089232;-,552602179981362;2,04766809536257;,776914158234019;4,08475104194326;2,36103781505764;2,74397591526043;1,73191334315382;2,07002055206412;-1,59793464960969;1;5,42521870384895
Dodge;Ram Wagon;16,767;15,51;1;21,315;3,9;175;109,6;78,8;192,6;4,245;32;15;2,81941266895567;-,223774491836434;1,67667751089232;-,423348777913999;,803235701776928;-,193097989270037;,27650002945545;2,21618886934859;,391342049971052;1,37505463301953;3,61326168048469;-2,06492760157836;1;2,81941266895567
Dodge;Ram Van;31,038;13,425;1;18,575;3,9;175;127,2;78,8;208,5;4,298;32;16;3,43521226024943;-,405816758291209;1,67667751089232;-,614267549700831;,803235701776928;-,193097989270037;2,57977211948245;2,21618886934859;1,57510402649324;1,45911468474005;3,61326168048469;-1,83143112559402;1;3,43521226024943
Dodge;Dakota;111,313;11,26;1;16,98;2,5;120;131;71,5;215;3,557;22;19;4,7123460528983;-,594843859909717;1,67667751089232;-,725404571963604;-,536922260546073;-1,16311013677409;3,07706950255645;,101394261996347;2,05903187853061;,283859999364455;1,04119313311708;-1,13094169764101;1;4,7123460528983
Dodge;Durango;101,323; ;1;26,31;5,2;230;115,7;71,7;193,5;4,394;25;17;4,61831343385423; ;1,67667751089232;-,0753052505142807;2,04766809536257;,776914158234019;1,07479319702163;,159333840279971;,458347444868535;1,61137440106401;1,81281369732736;-1,59793464960969;1;4,61831343385423
Dodge;Caravan;181,749;12,025;1;19,565;2,4;150;113,3;76,8;186,3;3,533;20;24;5,20262661433522;-,528051373656526;1,67667751089232;-,545285949675662;-,632647829283431;-,634012601771881;,760710639290671;1,63679308651236;-,0776957143113229;,245795070283464;,526779423643559;,0365406822806684;1;5,20262661433522
Ford;Explorer;276,747;16,64;1;31,93;4;210;111,6;70,2;190,7;3,876;21;19;5,62310373142159;-,125113695148715;1,67667751089232;,316287266800317;,898961270514286;,424182468232544;,538235494231245;-,275212996847202;,249886216298589;,789806348399291;,78398627838032;-1,13094169764101;1;5,62310373142159
Ford;Windstar;155,787;13,175;1;21,41;3;150;120,7;76,6;200,9;3,761;26;21;5,04848968964722;-,427644368177873;1,67667751089232;-,416729331446937;-,058294416859287;-,634012601771881;1,72913185896111;1,57885350822873;1,00928069180339;,607411896552877;2,07002055206412;-,663948745672341;1;5,04848968964722
Ford;Expedition;125,338;23,575;1;36,135;4,6;240;119;78,7;204,6;4,808;26;16;4,83101408807117;,480384203107335;1,67667751089232;,609284870947628;1,47331468293843;,953280003234757;1,50665671390169;2,18721908020678;1,28474731527082;2,2679944277111;2,07002055206412;-1,83143112559402;1;4,83101408807117
Ford;Ranger;220,65;7,85;1;12,05;2,5;119;117,5;69,4;200,7;3,086;20;23;5,39657773571556;-,892572458763809;1,67667751089232;-1,06891900441218;-,536922260546073;-1,18074672127417;1,31035511531984;-,506971309981693;,994390604048393;-,463164233849991;,526779423643559;-,196955793703668;1;5,39657773571556
Ford;F-Series;540,561;15,075;1;26,935;4,6;220;138,5;79,1;224,5;4,241;25,1;18;6,29260748917561;-,261754533039229;1,67667751089232;-,031756260599401;1,47331468293843;,600548313233282;4,05857749546569;2,30309823677402;2,76631104689293;1,36871047817269;1,83853438280104;-1,36443817362535;1;6,29260748917561
Honda;CR-V;73,203;17,71;1;20,55;2;146;103,2;68,9;177,6;3,219;15,3;24;4,29323640373402;-,0316915248337942;1,67667751089232;-,476652741569812;-1,01555010423286;-,704558939772176;-,561053457827092;-,65182025569075;-,725414531653654;-,252221085192833;-,682092793619216;,0365406822806684;1;4,29323640373402
Honda;Passport;12,855;17,525;1;26,6;3,2;205;106,4;70,4;178,2;3,857;21,1;19;2,55373284071785;-,0478439561499255;1,67667751089232;-,0550985191937763;,133156720615428;,335999545732175;-,14227671418582;-,217273418563578;-,680744268388666;,759671612876841;,809706963853996;-1,13094169764101;1;2,55373284071785
Honda;Odyssey;76,029;19,49;1;26;3,5;210;118,1;75,6;201,2;4,288;20;23;4,33111484645097;,123721057559251;1,67667751089232;-,0969055495120609;,420333426827499;,424182468232544;1,38887575475258;1,28915561681062;1,03161582343588;1,44325429762297;,526779423643559;-,196955793703668;1;4,33111484645097
Jeep;Wrangler;55,557;13,475;1;14,46;2,5;120;93,4;66,7;152;3,045;19;17;4,01740952074798;-,401451236313877;1,67667751089232;-,900994099300399;-,536922260546073;-1,16311013677409;-1,84355723522849;-1,2891556168106;-2,63134576429315;-,528191821030017;,269572568906798;-1,59793464960969;1;4,01740952074798
Jeep;Cherokee;80,556;13,775;1;21,62;4;190;101,4;69,4;167,5;3,194;20;20;4,38895259474462;-,37525810444988;1,67667751089232;-,402096870835538;,898961270514286;,0714507782310689;-,796615376125307;-,506971309981693;-1,47736396328096;-,291872052985532;,526779423643559;-,897445221656677;1;4,38895259474462
Jeep;Grand Cherokee;157,04;18,81;1;26,895;4;195;105,9;72,3;181,5;3,88;20,5;19;5,05650054996821;,0643499586675257;1,67667751089232;-,0345433959539532;,898961270514286;,159633700731438;-,207710580379769;,333152575130838;-,43505782043123;,796150503246123;,655382851011939;-1,13094169764101;1;5,05650054996821
Lexus;LX470;9,126; ;1;60,105;4,7;230;112,2;76,4;192,5;5,401;25,4;15;2,21112748250521; ;1,67667751089232;2,27947573216309;1,56904025167579;,776914158234019;,616756133663985;1,52091392994511;,383897006093555;3,20851538375392;1,91569643922207;-2,06492760157836;1;2,21112748250521
Lexus;RX300;51,238; ;1;34,605;3;220;103;71,5;180,1;3,9;17,2;21;3,93648144426052; ;1,67667751089232;,502676943636002;-,058294416859287;,600548313233282;-,587227004304672;,101394261996347;-,539288434716203;,827871277480282;-,193399769619371;-,663948745672341;1;3,93648144426052
Lincoln;Navigator;22,925; ;1;42,66;5,4;300;119;79,9;204,8;5,393;30;15;3,13222801814253; ;1,67667751089232;1,06393632565897;2,23911923283729;2,01147507323918;1,50665671390169;2,53485654990851;1,29963740302581;3,19582707406026;3,09884797101117;-2,06492760157836;1;3,13222801814253
Mitsubishi;Montero;11,337;19,125;1;31,807;3,5;200;107,3;69,9;186,6;4,52;24,3;18;2,42807171303546;,091852747124722;1,67667751089232;,307716825585069;,420333426827499;,247816623231806;-,0244957550367133;-,362122364272635;-,0553605826788301;1,81121527873921;1,63276889901163;-1,36443817362535;1;2,42807171303546
Mitsubishi;Montero Sport;39,348;13,88;1;22,527;3;173;107,3;66,7;178,3;3,51;19,5;20;3,67244514765051;-,366090508297481;1,67667751089232;-,338898576671064;-,058294416859287;-,228371158270185;-,0244957550367133;-1,2891556168106;-,673299224511166;,209316179914181;,398175996275179;-,897445221656677;1;3,67244514765051
Mercury;Mountaineer;27,609;20,43;1;27,56;4;210;111,6;70,2;190,1;3,876;21;18;3,31814180652483;,205792870733106;1,67667751089232;,0117927293154787;,898961270514286;,424182468232544;,538235494231245;-,275212996847202;,205215953033601;,789806348399291;,78398627838032;-1,36443817362535;1;3,31814180652483
Mercury;Villager;20,38;14,795;1;22,51;3,3;170;112,2;74,9;194,7;3,944;20;21;3,01455402779458;-,286201456112293;1,67667751089232;-,340083109196749;,228882289352785;-,281280911770406;,616756133663985;1,08636709281794;,547687971398511;,897656980795432;,526779423643559;-,663948745672341;1;3,01455402779458
Mercedes-Benz;M-Class;28,976; ;1;35,3;3,2;215;111;72,2;180,6;4,387;19;20;3,36646790114106; ;1,67667751089232;,551103420421348;,133156720615428;,512365390732913;,459714854798507;,304182785989028;-,502063215328713;1,60027213008205;,269572568906798;-,897445221656677;1;3,36646790114106
Nissan;Quest;27,308;15,38;1;26,399;3,3;170;112,2;74,9;194,8;3,991;20;21;3,30717969955603;-,235124848977499;1,67667751089232;-,0691038743504017;,228882289352785;-,281280911770406;,616756133663985;1,08636709281794;,555133015276011;,972200800245706;,526779423643559;-,663948745672341;1;3,30717969955603
Nissan;Pathfinder;42,574;17,81;1;29,299;3,3;170;106,3;71,7;182,6;3,947;21;19;3,75124373831049;-,0229604808791289;1,67667751089232;,13296343885464;,228882289352785;-,281280911770406;-,155363487424611;,159333840279971;-,353162337778752;,902415096930556;,78398627838032;-1,13094169764101;1;3,75124373831049
Nissan;Xterra;54,158; ;1;22,799;3,3;170;104,3;70,4;178;3,821;19,4;18;3,99190570030032; ;1,67667751089232;-,319946056260109;,228882289352785;-,281280911770406;-,417098952200405;-,217273418563578;-,695634356143661;,702574219255355;,372455310801502;-1,36443817362535;1;3,99190570030032
Nissan;Frontier;65,005; ;1;17,89;3,3;170;116,1;66,5;196,1;3,217;19,4;18;4,17446419001413; ;1,67667751089232;-,66199724264754;,228882289352785;-,281280911770406;1,12714028997678;-1,34709519509423;,651918585683484;-,255393162616249;,372455310801502;-1,36443817362535;1;4,17446419001413
Oldsmobile;Bravada;20,017;19,925;1;31,598;4,3;190;107;67,8;181,2;4,068;17,5;19;2,99658191250857;,161701098762046;1,67667751089232;,293154043357533;1,18613797672636;,0714507782310689;-,0637560747530822;-,970487936250679;-,457392952063725;1,09432578104722;-,116237713198343;-1,13094169764101;1;2,99658191250857
Oldsmobile;Silhouette;24,361;15,24;1;25,345;3,4;185;120;72,2;201,4;3,948;25;22;3,19298349290225;-,247348310514031;1,67667751089232;-,142544890942855;,324607858090142;-,0167321442692999;1,63752444628958;,304182785989028;1,04650591119088;,904001135642264;1,81281369732736;-,430452269688004;1;3,19298349290225
Plymouth;Voyager;24,155;12,025;1;18,85;2,4;150;113,3;76,8;186,3;3,528;20;24;3,18449139800637;-,528051373656526;1,67667751089232;-,595105994138284;-,632647829283431;-,634012601771881;,760710639290671;1,63679308651236;-,0776957143113229;,237864876724924;,526779423643559;,0365406822806684;1;3,18449139800637
Pontiac;Montana;39,572; ;1;25,635;3,4;185;120;72,7;201,3;3,942;25;23;3,67812179746098; ;1,67667751089232;-,122338159622351;,324607858090142;-,0167321442692999;1,63752444628958;,449031731698086;1,03906086731338;,894484903372017;1,81281369732736;-,196955793703668;1;3,67812179746098
Subaru;Forester;33,028; ;1;20,095;2,5;165;99,4;68,3;175,2;3,125;15,9;24;3,49735568655518; ;1,67667751089232;-,508356406227844;-,536922260546073;-,369463834270775;-1,0583508409011;-,825638990541622;-,904095584713607;-,401308724093381;-,52776868077716;,0365406822806684;1;3,49735568655518
Toyota;Tacoma;84,087;9,575;1;11,528;2,4;142;103,3;66,5;178,7;2,58;15,1;23;4,43185197714704;-,74196195054583;1,67667751089232;-1,10529112078908;-,632647829283431;-,775105277772471;-,547966684588303;-1,34709519509423;-,643519049001176;-1,26569982197421;-,733534164566569;-,196955793703668;1;4,43185197714704
Toyota;Sienna;65,119; ;1;22,368;3;194;114,2;73,4;193,5;3,759;20,9;22;4,17621636531102; ;1,67667751089232;-,34997743970541;-,058294416859287;,141997116231364;,878491598439779;,651820255690767;,458347444868535;,604239819129461;,758265592906643;-,430452269688004;1;4,17621636531102
Toyota;RAV4;25,106;13,325;1;16,888;2;127;94,9;66,7;163,8;2,668;15,3;27;3,22310686139602;-,414547802245875;1,67667751089232;-,731814983279075;-1,01555010423286;-1,03965404527358;-1,64725563664664;-1,2891556168106;-1,75283058674838;-1,12612841534392;-,682092793619216;,737030110233678;1;3,22310686139602
Toyota;4Runner;68,411;19,425;1;22,288;2,7;150;105,3;66,5;183,3;3,44;18,5;23;4,22553363041201;,118045878988718;1,67667751089232;-,355551710414514;-,345471123071359;-,634012601771881;-,286231219812508;-1,34709519509423;-,301047030636264;,0982934700946242;,140969141538418;-,196955793703668;1;4,22553363041201
Toyota;Land Cruiser;9,835;34,08;1;51,728;4,7;230;112,2;76,4;192,5;5,115;25,4;15;2,28594745184102;1,39758037054494;1,67667751089232;1,69577991053598;1,56904025167579;,776914158234019;,616756133663985;1,52091392994511;,383897006093555;2,75490831220545;1,91569643922207;-2,06492760157836;1;2,28594745184102
